line number,contest name,party name,total votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),DEM,0
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),REP,0
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),DEM,85993
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),REP,43271
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),DEM,45458
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),REP,99519
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),DEM,127340
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),REP,68599
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),DEM,72061
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),REP,96138
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),DEM,44661
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),REP,108433
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),DEM,101787
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),REP,38033
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),DEM,60597
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),REP,60926
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),DEM,53437
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),REP,106206
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),DEM,58214
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),REP,94179
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),DEM,124972
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),REP,107342
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),DEM,71345
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),REP,35127
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),DEM,98540
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),REP,56120
